index,duration_sec,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,member_birth_year,member_gender,bike_share_for_all_trip,duration_min,duration_hr,member_age,month,date,day,hour,timeofweek,dayperiod,member_age_group,zip
687142,331,2018-06-21 15:40:45.4720,2018-06-21 15:46:16.759,30.0,San Francisco Caltrain (Townsend St at 4th St),37.776598,-122.39528200000001,30.0,San Francisco Caltrain (Townsend St at 4th St),37.776598,-122.39528200000001,4035,Subscriber,1986.0,Male,No,5.52,0.09,33,June,21,Thursday,15,Weekday,Afternoon,Young Adult,94107
1257289,1817,2018-09-23 19:59:34.6370,2018-09-23 20:29:51.645,50.0,2nd St at Townsend St,37.780526,-122.39028799999998,28.0,The Embarcadero at Bryant St,37.78716801474664,-122.38809792330359,475,Subscriber,1993.0,Male,No,30.28,0.5,26,September,23,Sunday,20,Weekend,Evening,Young Adult,94107
1319555,307,2018-09-13 18:14:19.1370,2018-09-13 18:19:27.032,267.0,Derby St at College Ave,37.8618037,-122.25356869999999,166.0,College Ave at Alcatraz Ave,37.8513755,-122.25252330000001,488,Subscriber,1990.0,Female,No,5.12,0.09,29,September,13,Thursday,18,Weekday,Afternoon,Young Adult,94705
838848,2368,2018-07-28 16:00:59.2060,2018-07-28 16:40:28.193,122.0,19th St at Mission St,37.760298999999996,-122.418892,62.0,Victoria Manalo Draves Park,37.77779057034257,-122.40643188357352,714,Subscriber,1979.0,Other,No,39.47,0.66,40,July,28,Saturday,16,Weekend,Afternoon,Adult,94110
1558300,947,2018-10-06 15:31:00.6880,2018-10-06 15:46:47.874,324.0,Union Square (Powell St at Post St),37.78829997815083,-122.40853071212769,6.0,The Embarcadero at Sansome St,37.80477,-122.40323400000001,2807,Subscriber,1995.0,Female,No,15.78,0.26,24,October,06,Saturday,15,Weekend,Afternoon,Young Adult,94102
115065,1106,2018-02-22 19:08:42.3850,2018-02-22 19:27:09.215,116.0,Mississippi St at 17th St,37.764802200000005,-122.3947713,55.0,Webster St at Grove St,37.7770527,-122.4295585,634,Subscriber,1973.0,Male,No,18.43,0.31,46,February,22,Thursday,19,Weekday,Evening,Adult,94107
271073,1145,2018-03-13 16:17:43.3400,2018-03-13 16:36:48.864,13.0,Commercial St at Montgomery St,37.794230999999996,-122.402923,126.0,Esprit Park,37.7616343,-122.3906477,3012,Customer,1974.0,Male,No,19.08,0.32,45,March,13,Tuesday,16,Weekday,Afternoon,Adult,94111
379363,236,2018-04-17 10:51:21.9300,2018-04-17 10:55:18.926,81.0,Berry St at 4th St,37.77588,-122.39317,93.0,4th St at Mission Bay Blvd S,37.770407399999996,-122.39119840000002,2157,Subscriber,1975.0,Female,No,3.93,0.07,44,April,17,Tuesday,10,Weekday,Morning,Adult,94107
1448268,333,2018-10-23 21:39:05.2490,2018-10-23 21:44:39.073,121.0,Mission Playground,37.75921029999999,-122.4213392,119.0,18th St at Noe St,37.7610471,-122.43264170000002,2016,Subscriber,1981.0,Male,No,5.55,0.09,38,October,23,Tuesday,21,Weekday,Evening,Adult,94110
1547896,543,2018-10-08 17:05:05.7100,2018-10-08 17:14:09.527,26.0,1st St at Folsom St,37.787290000000006,-122.39438,14.0,Clay St at Battery St,37.795001,-122.39997,1650,Subscriber,1990.0,Male,No,9.05,0.15,29,October,08,Monday,17,Weekday,Afternoon,Young Adult,94105
408371,266,2018-04-10 08:56:29.1610,2018-04-10 09:00:55.280,323.0,Broadway at Kearny,37.79801364395978,-122.40595042705534,14.0,Clay St at Battery St,37.795001,-122.39997,3329,Subscriber,1991.0,Male,No,4.43,0.07,28,April,10,Tuesday,9,Weekday,Morning,Young Adult,94133
193615,410,2018-02-02 17:10:35.7580,2018-02-02 17:17:26.151,312.0,San Jose Diridon Station,37.329732,-121.90178200000001,308.0,San Pedro Square,37.336802,-121.89409009999999,1680,Subscriber,1991.0,Female,No,6.83,0.11,28,February,02,Friday,17,Weekday,Afternoon,Young Adult,95110
332949,318,2018-04-26 18:48:46.6560,2018-04-26 18:54:05.476,284.0,Yerba Buena Center for the Arts (Howard St at 3rd St),37.78487208436062,-122.40087568759917,5.0,Powell St BART Station (Market St at 5th St),37.78389935708493,-122.40844488143921,714,Subscriber,1979.0,Male,No,5.3,0.09,40,April,26,Thursday,18,Weekday,Afternoon,Adult,94103
1790987,1198,2018-12-16 08:11:26.0830,2018-12-16 08:31:24.852,93.0,4th St at Mission Bay Blvd S,37.770407399999996,-122.39119840000002,4.0,Cyril Magnin St at Ellis St,37.78588062694133,-122.4089150084319,4975,Subscriber,1968.0,Male,Yes,19.97,0.33,51,December,16,Sunday,8,Weekend,Morning,Adult,94158
